"X","Item.label","English..translation","Item.description","Additional..comments","Response.scale....anchoring","X.1","Conditional.branching","X.2","Where.does.this.item.appear.","X.3","X.4","X.5","X.6","X.7","What.populations.have.the.items.been.used.with.","X.8","X.9","X.10","X.11","X.12","X.13","X.14","Which.datasets.does..this.item.appear.in.","Contact.person.for.each.dataset....Email","Are.datasets.","X.15","X.16","X.17","Citation.s..for.each.item.group.of.items","Adapted.from.an.existing.item...Optional.","Reference.for.existing.item..Optional.","How.have.items.been..administered..e.g..pen.paper...phone..PalmPilot..etc.","How.long.after.the..beep.could.begin.filling.out.the.item.","Psychometrics..optional.","X.18","Remarks..optional.","X.19","X.20","X.21"
"","","","","","discrete","vas","is presentation of this item conditional upon an answer to a previous item? if so, which item and what is the required response for presentation?","","beep-level","","morning 
questionnaire","evening 
questionnaire","event-
contingent","other (please 
describe)","children","adolescents","adults","older adults/elderly ","general population","clinical sample 
- outpatient","clinical sample 
- inpatients","if clinical sample, 
which?","","please include contact details 
of person(s) who most likely 
could be contacted years later","publicly available 
(open source)","if publicly available, 
add link / contact email","available upon request 
(add contact email)","closed (e.g. 
unable to be 
shared)","please fill out which paper should get cited 
for each item/group of items (i.e. the paper of record 
for those items. please check with pi of that study!)","is this item and/or response options adapted from an existing item?","please fill out the reference for the existing, i.e. the original item from which your item is adapted.","","","item reliability","item validity","item development","item use/administration ","instructions for participants (regarding this item) ","other"
"","","","","","","","this item is branched fromﾅ","required response","","if beep-level, how many beeps per day","","","","","","","","","","","","","","","","","","","","","","","","it may be the case that realiability/validity has been calculated for a group of items, rather than individually. if so, please indicate this in the remarks section.","","here you can tell us any additional information regarding how the item was developed.","how has this item been used, administered?","do participants receive or need any specific instructions about this item?","anything else!"
"example","ik voel me verdrietig","i feel sad","mood item","n.a.","1-7 (also add available 
labels for all scores)","n.a.","ik voel me gestresst","score greater than 2 (scale 1 - 7, 1 = not at all - 7 = very much)","","group: 10
sigma: 8","","","","","","yes","yes","no","yes","yes","yes","subclinical depression, major depression, psychosis","group, sigma, etc","group: inez myin-germeys, email
sigma: olivia kirtley, email","group, ...","https://etcetc","sigma, email","n.a.","group: germeys et al 2005 [title of paper][journal]
sigma: etc","example: the response scale for this item was adapted from the original 1 - 5 scale.","example: [authors, year, title, journal]","paper/pen, dedicated device, phone","group: 15 minutes 
sigma: 12 minutes","","","example: we conducted focus groups to develop initial items, then revised them after piloting.","example: this item is used with items x, y, & z as an index of negative affect.","example: this item may require additional explanation, such as: ""this item refers to your mood before the beep, not your reaction to the beep.""","low variability. strong floor effect. "
"","ik voel me vrolijk","i feel cheerful","positive affect ","","1 (not at all) - 7 (very much)","","","","","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","no","NA","yes - oliva kirtley, olivia.kirtley@kuleuven.be","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me ge�rriteerd","i feel irritated","negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to your mood before the beep, not your reaction to the beep.""",""
"","ik voel me angstig","i feel anxious","negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me tevreden","i feel satisfied","positive affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me onzeker","i feel insecure","negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me eenzaam","i feel lonely","loneliness/negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me schuldig","i feel guilty","negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
